material_code,city,state,buy_rate_per_kg,min_rate,max_rate,source,updated_at
COPPER_HEAVY_INSULATED,Ludhiana,Punjab,437.89,385.34,503.57,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Ludhiana,Punjab,112.89,99.34,129.82,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Ludhiana,Punjab,87.89,77.34,101.07,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Ludhiana,Punjab,127.89,112.54,147.07,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Ludhiana,Punjab,157.89,138.94,181.57,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Ludhiana,Punjab,17.89,15.74,20.57,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Ludhiana,Punjab,17.89,15.74,20.57,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Dehradun,Uttarakhand,294.89,259.5,339.12,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Dehradun,Uttarakhand,44.89,39.5,51.62,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Dehradun,Uttarakhand,434.89,382.7,500.12,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Dehradun,Uttarakhand,109.89,96.7,126.37,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Dehradun,Uttarakhand,84.89,74.7,97.62,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Dehradun,Uttarakhand,124.89,109.9,143.62,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Dehradun,Uttarakhand,154.89,136.3,178.12,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Dehradun,Uttarakhand,14.89,13.1,17.12,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Dehradun,Uttarakhand,14.89,13.1,17.12,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Raipur,Chhattisgarh,291.89,256.86,335.67,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Raipur,Chhattisgarh,41.89,36.86,48.17,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Raipur,Chhattisgarh,431.89,380.06,496.67,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Raipur,Chhattisgarh,106.89,94.06,122.92,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Raipur,Chhattisgarh,81.89,72.06,94.17,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Raipur,Chhattisgarh,121.89,107.26,140.17,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Raipur,Chhattisgarh,151.89,133.66,174.67,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Raipur,Chhattisgarh,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Raipur,Chhattisgarh,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Ranchi,Jharkhand,295.89,260.38,340.27,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Ranchi,Jharkhand,45.89,40.38,52.77,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Ranchi,Jharkhand,435.89,383.58,501.27,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Ranchi,Jharkhand,110.89,97.58,127.52,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Ranchi,Jharkhand,85.89,75.58,98.77,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Ranchi,Jharkhand,125.89,110.78,144.77,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Ranchi,Jharkhand,155.89,137.18,179.27,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Ranchi,Jharkhand,15.89,13.98,18.27,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Ranchi,Jharkhand,15.89,13.98,18.27,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Guwahati,Assam,285.89,251.58,328.77,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Guwahati,Assam,35.89,31.58,41.27,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Guwahati,Assam,425.89,374.78,489.77,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Guwahati,Assam,100.89,88.78,116.02,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Guwahati,Assam,75.89,66.78,87.27,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Guwahati,Assam,115.89,101.98,133.27,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Guwahati,Assam,145.89,128.38,167.77,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Guwahati,Assam,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Guwahati,Assam,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Thiruvananthapuram,Kerala,299.89,263.9,344.87,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Thiruvananthapuram,Kerala,49.89,43.9,57.37,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Thiruvananthapuram,Kerala,439.89,387.1,505.87,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Thiruvananthapuram,Kerala,114.89,101.1,132.12,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Thiruvananthapuram,Kerala,89.89,79.1,103.37,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Thiruvananthapuram,Kerala,129.89,114.3,149.37,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Thiruvananthapuram,Kerala,159.89,140.7,183.87,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Thiruvananthapuram,Kerala,19.89,17.5,22.87,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Thiruvananthapuram,Kerala,19.89,17.5,22.87,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Panaji,Goa,293.89,258.62,337.97,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Panaji,Goa,43.89,38.62,50.47,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Panaji,Goa,433.89,381.82,498.97,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Panaji,Goa,108.89,95.82,125.22,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Panaji,Goa,83.89,73.82,96.47,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Panaji,Goa,123.89,109.02,142.47,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Panaji,Goa,153.89,135.42,176.97,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Panaji,Goa,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Panaji,Goa,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Jammu,Jammu & Kashmir,292.89,257.74,336.82,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Jammu,Jammu & Kashmir,42.89,37.74,49.32,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Jammu,Jammu & Kashmir,432.89,380.94,497.82,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Jammu,Jammu & Kashmir,107.89,94.94,124.07,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Jammu,Jammu & Kashmir,82.89,72.94,95.32,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Jammu,Jammu & Kashmir,122.89,108.14,141.32,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Jammu,Jammu & Kashmir,152.89,134.54,175.82,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Jammu,Jammu & Kashmir,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Jammu,Jammu & Kashmir,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Shimla,Himachal Pradesh,299.89,263.9,344.87,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Shimla,Himachal Pradesh,49.89,43.9,57.37,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Shimla,Himachal Pradesh,439.89,387.1,505.87,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Shimla,Himachal Pradesh,114.89,101.1,132.12,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Shimla,Himachal Pradesh,89.89,79.1,103.37,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Shimla,Himachal Pradesh,129.89,114.3,149.37,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Shimla,Himachal Pradesh,159.89,140.7,183.87,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Shimla,Himachal Pradesh,19.89,17.5,22.87,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Shimla,Himachal Pradesh,19.89,17.5,22.87,cpcb-national-mandi-index,2026-09-22 02:17:50
